Bird Species
Greater Painted-snipe
Crimson-breasted Shrike
Hartert's Camaroptera
Emperor Bird-of-paradise
Mountain Thornbill
Black-cowled Saltator
Malagasy Green Sunbird
Grey-bellied Comet
Eared Dove
Ashy-fronted Bulbul
Brown-capped Rosy Finch
New Zealand Plover
Crimson Finch
Galapagos Martin
Yellow-browed Shrike-Vireo
Red-bellied Paradise Flycatcher
Wahnes's Parotia
Black Thicket Fantail
Pitcairn Reed Warbler
Socorro Parakeet
Yellow-eared Woodpecker
Martinique Oriole
Bertoni's Antbird
Willow Warbler
Variable Seedeater
Algerian Nuthatch
Rufescent Darkeye
Flores Jungle Flycatcher
Yellow-billed Kite
Socorro Wren
Russet-crowned Crake
Empress Brilliant
Rufous Scrubbird
Slender-billed Babbler
Jamaican Poorwill
Taczanowski's Ground Tyrant
Giant Hummingbird
Gilded Barbet
Banded Yellow Robin
Bundok Flycatcher
Eurasian Hoopoe
Lava Heron
Landana Firefinch
White-tailed Tropicbird
Wattled Broadbill
Red-breasted Parakeet
Cuban Crow
White-chinned Thistletail
Rainbow Bee-eater
Black-backed Thrush
Little Woodstar
Yellow-throated Bulbul
Luzon Sunbird
Golden-winged Parakeet
Vietnamese Crested Argus
Timor Cuckoo-Dove
Burrowing Parrot
Crescent-chested Warbler
African Paradise Flycatcher
Itatiaia Spinetail
Mariana Fruit Dove
Yellow-bellied Eremomela
Galapagos Hawk
Splendid Astrapia
Fulvous Wren
Afghan Snowfinch
Rufous-sided Warbling Finch
Cinereous Warbling Finch
Rufous Coucal
Tufted Puffin
Twelve-wired Bird-of-paradise
Barred Cuckooshrike
Marsh Widowbird
Allen's Gallinule
Puerto Rican Lizard Cuckoo
Brown-crested Flycatcher
Mascarene Martin
Pygmy Cupwing
Beaudouin's Snake Eagle
Green-fronted Lancebill
Brown-hooded Gull
Canary Flyrobin
Whistler's Warbler
White-browed Jungle Flycatcher
Malindi Pipit
Speckled Spinetail
Little Curlew
Red-faced Mousebird
Elegant Tit
Pycroft's Petrel
Papuan Sittella
Purple Honeycreeper
Magellanic Diving Petrel
Rufous-headed Chachalaca
Chestnut-bellied Nuthatch
Common Grackle
Andean Lapwing
Virginia Rail
Javan Sunbird
African Collared Dove
Mees's Nightjar
Choco Screech Owl
Long-tailed Ground Dove
Elegant Imperial Pigeon
Common Bush Tanager
Namaqua Sandgrouse
Neumann's Warbler
Golden Bowerbird
Purple-throated Carib
Annam Limestone Babbler
Pernambuco Pygmy Owl
Temminck's Babbler
White-tailed Shrike
Marsh Babbler
Flame-breasted Sunbird
Black-throated Wren
Javan Pied Myna
Pygmy Palm Swift
Chestnut-breasted Partridge
Cocos Flycatcher
Victoria Crowned Pigeon
Cinereous Harrier
Black-headed Oriole
Western Crowned Warbler
Great Bustard
Verdin
Heuglin's Bustard
Rose-breasted Grosbeak
Red-winged Blackbird
Belding's Yellowthroat
Oriental Pied Hornbill
Beijing Babbler
Solomons Cockatoo
Eurasian Oystercatcher
Yellow-headed Brushfinch
Pink-spotted Fruit Dove
Swamp Francolin
Black-breasted Wood Quail
Black-bellied Myzomela
Surucua Trogon
Common Greenshank
Jerdon's Minivet
Crested Hornero
Satin Berrypecker
Brown Creeper
Crested Bellbird
Nonggang Babbler
Fan-tailed Gerygone
Nubian Nightjar
Jackson's Widowbird
Rufous-chested Tanager
Sedge Warbler
White-bellied Minivet
Glaucous Macaw
Lita Woodpecker
Dot-winged Crake
White-browed Purpletuft
Mascarene Grey Parakeet
Blue Swallow
Weyns's Weaver
Western Subalpine Warbler
White-throated Greenbul
White-lined Tanager
Standard-winged Nightjar
Asian Golden Weaver
'Inambari-Tambopata' Antwren
Javan Black-capped Babbler
Tricolored Grebe
Hunter's Cisticola
Rüppell's Black Chat
White-tailed Blue Flycatcher
Andaman Coucal
White-headed Saw-wing
Bolivian Warbling Finch
Heinroth's Shearwater
Red-fronted Parrotlet
Bronze-winged Courser
Godlewski's Bunting
Oceanic Flycatcher
Jamaican Euphonia
Diademed Sandpiper-Plover
Cabanis's Bunting
White-throated Screech Owl
Dulit Partridge
Grey Pratincole
Cinnamon-chested Flycatcher
Blue-crowned Laughingthrush
Brazilian Tanager
Peruvian Racket-tail
Black-throated Whipbird
Snethlage's Antpitta
Audubon's Shearwater
White-throated Toucan
Virginia's Warbler
White-throated Needletail
Emerald Starling
White-naped Woodpecker
Australian Pipit
Long-tailed Cisticola
Dwarf Tinamou
Blue-breasted Fairywren
Common Gallinule
Red-winged Tinamou
Red-fronted Lorikeet
Ringed Warbling Finch
Solomons Monarch
Pacific Swallow
Band-rumped Swift
Sulawesi Goshawk
Red-tailed Wheatear
Little Paradise Kingfisher
Reunion Harrier
Junin Antpitta
Guadeloupe Woodpecker
Trinidad Euphonia
Red-capped Manakin
Grassland Sparrow
Pin-tailed Green Pigeon
Blue-eared Kingfisher
Malaysian Plover
Channel-billed Toucan
Australian King Parrot
Glossy-backed Drongo
Band-tailed Antwren
Adelie Penguin
Melanesian Megapode
Xavier's Greenbul
Chattering Kingfisher
Rufous-banded Honeyeater
Pied-crested Tit-Tyrant
Olive Honeyeater
White-throated Magpie-Jay
Grey-lined Hawk
Red-and-white Antpitta
Espanola Cactus Finch
Golden-bellied Flycatcher
Black-winged Starling
White-browed Sparrow-Weaver
Philippine Serpent Eagle
Ou
Eurasian Collared Dove
Pallid Dove
American Avocet
Black Harrier
Daurian Starling
Ameline Swiftlet
Sharpe's Apalis
Goldcrest
Thekla's Lark
Yellow-throated Woodpecker
Water Thick-knee
Bay-breasted Warbler
White-fronted Bee-eater
Crescent-chested Babbler
Many-banded Aracari
Russet-mantled Softtail
Olive-capped Warbler
Ring Ouzel
White-cheeked Starling
Red-throated Bee-eater
Variegated Flycatcher
Tawny-winged Woodcreeper
Chestnut-bellied Starling
Great Cormorant
Ferruginous Duck
Red-capped Coua
Black-goggled Tanager
Marbled Wren-Babbler
Dark-necked Tailorbird
Karoo Long-billed Lark
Violet-eared Waxbill
Bay-chested Warbling Finch
Mottled Wood Owl
Coppery Emerald
Subtropical Cacique
Mottled Petrel
Crescent-chested Puffbird
Melancholy Woodpecker
Plain-backed Sunbird
Dark-rumped Rosefinch
Duchess Lorikeet
Boa Nova Tapaculo
Striated Laughingthrush
Red Lark
Slender-billed White-eye
Green-breasted Mountaingem
